"Gene"	"ICLE D2 Score Average"	"NST D2 Score Average"	"D2 Effect Size"	"D2 P-value"	"D2 FDR"	"SIMEM Effect Size"	"SIMEM P-value"	"SIMEM FDR"	"Significance"	"Group"	"Group & Significance"	"Consensus Dependency"	"Present in DGI"	"DGI Score"	"Drug"
"TOM1"	-0.0098859538356	0.05120080627279	-0.06108676010839	0.49689872766502	0.939301596143616	0.06124289738781	0.681143277005244	0.950657615149445	"NS"	""	"4"	"N"	"N"	NA	NA
"SH2D3C"	0.00942310726281112	-0.060057658887001	0.0694807661498121	0.465910918109983	0.930478091545925	0.0860044891491504	0.464486713225271	0.914511628663675	"NS"	""	"4"	"N"	"N"	NA	NA
"SH2D3A"	-0.0800968106883222	-0.00972752554438	-0.0703692851439422	0.465874905261593	0.930478091545925	-0.148305992507642	0.00783209237196148	0.462943257357325	"NS"	""	"4"	"N"	"N"	NA	NA
"MAMLD1"	0.132026092838533	-0.071734399092344	0.203760491930877	0.0526807151167083	0.794945946070855	0.0940266821336541	0.284010735627104	0.849833657645353	"NS"	""	"4"	"N"	"N"	NA	NA
"CST8"	0.0913323283954222	-0.01721303575388	0.108545364149302	0.293530142613329	0.891393237112007	0.209843608181942	0.316161056723566	0.864865878417408	"NS"	""	"4"	"N"	"N"	NA	NA
"RANBP9"	-0.191308234384356	-0.04214358597264	-0.149164648411716	0.0315564641091307	0.764943749632032	-0.135591495272262	0.239379166859934	0.830464196918736	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH7"	0.214380355142944	0.122222259907542	0.0921580952354024	0.237533413186923	0.879876094735999	-0.0405201352030327	0.401741515983948	0.895169289588016	"NS"	""	"4"	"N"	"N"	NA	NA
"SLC17A4"	-0.0887304565949111	0.05846943227211	-0.147199888867021	0.123164659355946	0.832515964681668	-0.0130835582557295	0.901522427879014	0.989505668299724	"NS"	""	"4"	"N"	"N"	NA	NA
"SPATA1"	-0.0348702421562778	0.12731972068989	-0.162189962846168	0.0166290526598577	0.732270289782147	-0.0977975922238684	0.112522135524158	0.735664028526785	"NS"	""	"4"	"N"	"N"	NA	NA
"LOC100506127"	-0.0251868059150822	-0.11371236220352	0.0885255562884378	0.32337617232307	0.901084014924136	0.00293985873890983	0.945964340272196	0.996342051503294	"NS"	""	"4"	"N"	"N"	NA	NA
"LOC100506422"	-0.0175039437239967	-0.09032407844022	0.0728201347162233	0.341001495159178	0.908711560967298	0.0834816886299037	0.289915646099719	0.85060689104374	"NS"	""	"4"	"N"	"N"	NA	NA
"OCLN"	0.0362313095340111	-0.02059030147151	0.0568216110055211	0.409908293634539	0.924518838303525	0.0163139454424776	0.562905792251457	0.929841247504881	"NS"	""	"4"	"N"	"Y"	1.404286998	"CONIVAPTAN HYDROCHLORIDE"
"ERVK13-1"	0.214518812554133	0.041980578747502	0.172538233806631	0.0329464549122608	0.764943749632032	-0.195019534699439	0.0164503367397121	0.548888384344318	"NS"	""	"4"	"N"	"N"	NA	NA
"MICA"	0.0368047094649347	0.089850573906585	-0.0530458644416503	0.413583995622013	0.925861881077451	-0.0895586674641033	0.211612353220117	0.812017219776503	"NS"	""	"4"	"N"	"N"	NA	NA
"SMC4"	-1.16608137894067	-1.1352229638529	-0.0308584150877667	0.82566548928359	0.985645688266929	-0.0353243421058789	0.768171775827766	0.970509499780684	"NS"	""	"4"	"N"	"N"	NA	NA
"GJC1"	-0.0829219244448333	-0.17307992038182	0.0901579959369867	0.191956191634229	0.869992431965738	0.113449163614058	0.161686896580547	0.784210729875358	"NS"	""	"4"	"N"	"N"	NA	NA
"AP1M2"	-0.0262750371461444	-0.15913992202965	0.132864884883506	0.39141160841734	0.92110853470559	-0.0138121697649671	0.886989288132201	0.985915500617817	"NS"	""	"4"	"N"	"N"	NA	NA
"UBA2"	-0.883073332641333	-0.8551763453615	-0.0278969872798331	0.869442310600124	0.987187395358083	-0.0234490589257939	0.850634524203029	0.982824457780222	"NS"	""	"4"	"N"	"N"	NA	NA
"SAE1"	-0.230720930729633	-0.4234443601944	0.192723429464767	0.1571947886203	0.854372789857185	-0.0695887095758484	0.698029605471474	0.957521804411859	"NS"	""	"4"	"N"	"N"	NA	NA
"FARSB"	-0.1146449608396	-0.208441345971225	0.093796385131625	0.529245296300312	0.947422634331019	0.108650191603002	0.152771872289538	0.776973439430931	"NS"	""	"4"	"N"	"N"	NA	NA
"ABCC5"	-0.0363561176377778	0.022580196032886	-0.0589363136706638	0.413100045164368	0.925861881077451	-0.110760075035073	0.0930925514987953	0.709038644662179	"NS"	""	"4"	"N"	"Y"	0.936191332	"CLODRONATE DISODIUM"
"ABCB6"	0.0485220214191111	0.0425839954319	0.0059380259872111	0.916889480592871	0.991981540811606	-0.104809027210157	0.0829779073862518	0.692570056227754	"NS"	""	"4"	"N"	"N"	NA	NA
"DNM1L"	-0.499787826680778	-0.5406486208688	0.0408607941880222	0.733579578842605	0.974885856674524	0.072945544193439	0.666296164962463	0.947291615659574	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH8"	0.0628510870909667	-0.01006789735368	0.0729189844446467	0.443001324523349	0.927131168289747	0.213714726981373	0.0468336603542527	0.642659993495528	"NS"	""	"4"	"N"	"N"	NA	NA
"ABCC9"	0.174008316106611	0.04729671340216	0.126711602704451	0.110549757966633	0.829161654196083	-0.0614682783923361	0.47715359242674	0.918069681813132	"NS"	""	"4"	"N"	"Y"	1.63833483	"LAROTRECTINIB"
"ABCF2"	0.0374847848133633	-0.021240111295506	0.0587248961088693	0.329807500343449	0.903584081776096	0.00763211059757012	0.857336458879609	0.983861613131326	"NS"	""	"4"	"N"	"N"	NA	NA
"NR1H3"	-0.07753851354639	-0.022229891968219	-0.055308621578171	0.566171044889219	0.9534221002379	-0.329974526146077	0.00684592687976472	0.462943257357325	"NS"	""	"4"	"N"	"Y"	0.689825192	"MESTRANOL"
"COX17"	-0.0646976241845176	-0.06998256519267	0.00528494100815245	0.933786080884975	0.992040377519976	0.0058949762673093	0.955423567284555	0.996617413360875	"NS"	""	"4"	"N"	"N"	NA	NA
"SCAMP2"	-0.0229985139287556	0.050293075265109	-0.0732915891938646	0.483500216220245	0.935375261169945	-0.00747306806863564	0.914711387998654	0.990767226941351	"NS"	""	"4"	"N"	"N"	NA	NA
"SCAMP3"	-0.103824630194222	-0.07113762239177	-0.0326870078024522	0.698032451934869	0.969266115826587	0.0272250305063865	0.743681616810256	0.965573399349058	"NS"	""	"4"	"N"	"N"	NA	NA
"IL18BP"	-0.0668281578845991	0.004607696501163	-0.0714358543857621	0.273073930676209	0.890333861656335	-0.26491555632764	0.000753995516061691	0.286131874969732	"NS"	""	"4"	"N"	"N"	NA	NA
"RWDD2B"	-0.00672996382069239	-0.052882816129713	0.0461528523090206	0.48184805802999	0.935307635608284	0.0266129835663618	0.702310397597411	0.957521804411859	"NS"	""	"4"	"N"	"N"	NA	NA
"DPP3"	-0.0160013911017222	-0.08891336926828	0.0729119781665578	0.341917081092163	0.908711560967298	0.107491099102909	0.499353940177043	0.92100387459361	"NS"	""	"4"	"N"	"N"	NA	NA
"SNUPN"	-0.0591656886388267	-0.02295541998491	-0.0362102686539167	0.563235828508587	0.952881983074893	0.0370172488366399	0.678321403945107	0.949775863146771	"NS"	""	"4"	"N"	"N"	NA	NA
"HUWE1"	-0.620560413394333	-0.619729937777	-0.000830475617333293	0.989873291900528	0.998916530787919	-0.0634900984314647	0.380222786020293	0.887498123165442	"NS"	""	"4"	"N"	"N"	NA	NA
"PTPRU"	-0.0502500626026633	0.084847011630823	-0.135097074233486	0.242114217025618	0.879876094735999	-0.0459735666508492	0.583352206672219	0.93234336238882	"NS"	""	"4"	"N"	"N"	NA	NA
"TSSC4"	0.0317935933632778	0.1524726558695	-0.120679062506222	0.109601225787869	0.829161654196083	-0.115491784909907	0.174223975133901	0.788908439508871	"NS"	""	"4"	"N"	"N"	NA	NA
"ATP9A"	-0.0509138813052622	0.01695278244366	-0.0678666637489222	0.250214786014345	0.884330543713556	-0.288644301942343	0.0443277091304324	0.638548663780826	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH10"	0.10635247581207	0.12504096617825	-0.01868849036618	0.773876207666252	0.979097413130079	-0.033910908608327	0.549166103637535	0.928374551013441	"NS"	""	"4"	"N"	"N"	NA	NA
"PDCD7"	-0.0429908690897411	-0.16803781841468	0.125046949324939	0.257822936268332	0.88595559459422	0.00222514401476823	0.973526784769303	0.997468791590167	"NS"	""	"4"	"N"	"N"	NA	NA
"GPC6"	-0.120884355651121	-0.12768924379688	0.0068048881457589	0.936273181244442	0.992040377519976	-0.123797583992009	0.38036690297989	0.887498123165442	"NS"	""	"4"	"N"	"N"	NA	NA
"USH1C"	0.112488440338422	0.037151776703301	0.0753366636351212	0.549053569898261	0.952201367015758	0.209392485607956	0.103692636914556	0.721124516306148	"NS"	""	"4"	"N"	"N"	NA	NA
"PQBP1"	-0.365818417357662	-0.19981285142462	-0.166005565933042	0.262424957904001	0.888158795333131	-0.0492418705219078	0.507087839841743	0.922744773078913	"NS"	""	"4"	"N"	"N"	NA	NA
"EDIL3"	-0.0069395772773889	-0.041618696439411	0.0346791191620221	0.675806610316929	0.967042995752405	0.00596106789334651	0.916952509615346	0.991060448274129	"NS"	""	"4"	"N"	"N"	NA	NA
"HHLA1"	-0.257139744276322	-0.134506629623938	-0.122633114652384	0.297504600665146	0.891627595008893	-0.172846588532185	0.163661821696659	0.786363102005116	"NS"	""	"4"	"N"	"N"	NA	NA
"COL4A3BP"	-0.141697470349	-0.204106772040778	0.062409301691778	0.508504754441733	0.943320955642273	-0.00726648492147675	0.937597403970918	0.993583436006592	"NS"	""	"4"	"N"	"N"	NA	NA
"KCNK7"	-0.0350624203403111	0.016157837494351	-0.0512202578346621	0.412168092170914	0.925471743369446	-0.0753716134880657	0.153081865886116	0.776973439430931	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH11"	-0.222299276062874	-0.206505833830666	-0.0157934422322084	0.922208505523067	0.991981540811606	-0.123267254301148	0.22546751220414	0.824232828353425	"NS"	""	"4"	"N"	"N"	NA	NA
"ARPC5"	0.0438937140840667	0.031998593832122	0.0118951202519447	0.820235864678746	0.985645688266929	-0.0982053334985958	0.0932883777648647	0.709038644662179	"NS"	""	"4"	"N"	"N"	NA	NA
"ARPC4"	-0.172722147964556	-0.14351455627633	-0.0292075916882256	0.681136119621481	0.967318648487311	0.0135918105770898	0.850800812909809	0.982824457780222	"NS"	""	"4"	"N"	"N"	NA	NA
"ARPC3"	0.0349398328797667	-0.01419380353876	0.0491336364185267	0.420690805149388	0.925861881077451	0.012214976525095	0.812400060812363	0.979583061183683	"NS"	""	"4"	"N"	"N"	NA	NA
"ARPC1B"	-0.07455682451208	-0.11238174657516	0.03782492206308	0.513562809609928	0.94534777874058	-0.115426036833227	0.136340040386153	0.76379449069862	"NS"	""	"4"	"N"	"N"	NA	NA
"ACTR3"	-0.0714500400496584	-0.22011007313492	0.148660033085262	0.125069656746682	0.832515964681668	0.125791314339289	0.0715223384557589	0.674352894977609	"NS"	""	"4"	"N"	"N"	NA	NA
"ACTR2"	-0.119022727313144	-0.20440631714731	0.0853835898341655	0.362681547319879	0.914702598862104	0.126984669475861	0.2716565489903	0.846341151993891	"NS"	""	"4"	"N"	"Y"	1.034737788	"RAPAMYCIN"
"TSPAN5"	0.0159078026735444	-0.026107120769591	0.0420149234431354	0.490102506400751	0.936003384040321	-0.102371217812682	0.0348377944851072	0.616936034576383	"NS"	""	"4"	"N"	"N"	NA	NA
"TSPAN3"	-0.348129245982544	-0.279073603691214	-0.0690556422913304	0.625388515783651	0.96173106627865	-0.052332245618681	0.731537119075882	0.963109658772368	"NS"	""	"4"	"N"	"N"	NA	NA
"ADAM8"	-0.181930674027589	0.02675384130993	-0.208684515337519	0.132101634379551	0.832515964681668	-0.235750989670907	0.0809823492591514	0.691988808506884	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH12"	0.0135283165996967	0.002570144283195	0.0109581723165017	0.869414304601145	0.987187395358083	-0.205798871294954	0.000842553393753368	0.286131874969732	"NS"	""	"4"	"N"	"N"	NA	NA
"TSPAN2"	0.104863287118733	0.05072998068135	0.0541333064373833	0.404952364330793	0.924181841506229	0.0500586945950706	0.257586486836775	0.840914163263032	"NS"	""	"4"	"N"	"N"	NA	NA
"TSFM"	-0.206845862654067	-0.09006967784763	-0.116776184806437	0.202587404915795	0.87028323296438	-0.209628918312284	0.129542134484566	0.756235300443013	"NS"	""	"4"	"N"	"N"	NA	NA
"TSPAN1"	0.168543309195667	0.0315013986967	0.137041910498967	0.0604447113285641	0.809321900953788	0.0315385052176451	0.641053917178151	0.942157048564738	"NS"	""	"4"	"N"	"N"	NA	NA
"PPIF"	0.191141761460289	0.266045873192	-0.0749041117317111	0.362878484602145	0.914702598862104	-0.0677056580637865	0.185422563396415	0.790075256998843	"NS"	""	"4"	"N"	"N"	NA	NA
"CTDSP2"	-0.285722044253533	-0.200008173107788	-0.0857138711457453	0.234074830008829	0.879136921055068	-0.0724814110683415	0.464501723875693	0.914511628663675	"NS"	""	"4"	"N"	"N"	NA	NA
"ARPC2"	-0.239101720626578	-0.3347894277394	0.0956877071128222	0.338698058252869	0.908196959665819	0.200144601307124	0.0146534025884691	0.536926915741666	"NS"	""	"4"	"N"	"N"	NA	NA
"SGK2"	-0.294266164664356	-0.296163648527112	0.00189748386275645	0.988635771232463	0.998916530787919	-0.0596549891371128	0.506214927257075	0.922496530232134	"NS"	""	"4"	"N"	"N"	NA	NA
"RAD50"	0.148197453317336	0.05620113269467	0.0919963206226656	0.30296144442208	0.892194264181726	0.105224303550162	0.155735094309295	0.778878340718345	"NS"	""	"4"	"N"	"Y"	0.99966193	"EPROSARTAN MESYLATE"
"KIF20A"	-0.196099439007367	-0.11528642767972	-0.0808130113276467	0.431733591724863	0.925861881077451	-0.071025568029915	0.431146236403838	0.904206388370626	"NS"	""	"4"	"N"	"N"	NA	NA
"PREB"	-0.538521763182722	-0.297088486500627	-0.241433276682095	0.262078363562878	0.888158795333131	-0.649258936571555	0.00242070462895716	0.367597723551948	"SIMEM ONLY"	"ILC"	"ILC - SIMEM ONLY"	"N"	"N"	NA	NA
"HIPK3"	-0.181461877423722	-0.36194379996552	0.180481922541798	0.174382604774823	0.86096665572243	0.192691117868002	0.117417857469352	0.742621314093408	"NS"	""	"4"	"N"	"N"	NA	NA
"ENAM"	0.00297852826548888	0.099107343841285	-0.0961288155757961	0.338290030660417	0.907747212606296	0.0133746755640891	0.837006872218295	0.981362988133405	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH13"	0.111417538128589	0.08652984086073	0.0248876972678589	0.659847963380306	0.965693378471491	0.0725279721845225	0.183596924796998	0.790075256998843	"NS"	""	"4"	"N"	"Y"	4.212860993	"EPOPROSTENOL SODIUM"
"ACTR1B"	0.0307490747085333	0.16372391241278	-0.132974837704247	0.0835002152238334	0.815640652225916	-0.0531702731887174	0.559608520777089	0.929561934857979	"NS"	""	"4"	"N"	"N"	NA	NA
"ACTR1A"	-0.729299376743222	-0.5539955839418	-0.175303792801422	0.13053811099272	0.832515964681668	-0.289052157693527	0.0344499573064138	0.61411154795697	"NS"	""	"4"	"N"	"N"	NA	NA
"ARL4C"	-0.110849363992878	-0.07004886485968	-0.0408004991331978	0.681016595113003	0.967318648487311	-0.0935197525751325	0.0865915339629433	0.700135192428316	"NS"	""	"4"	"N"	"N"	NA	NA
"ARL4A"	0.0416787807077189	0.06928173434525	-0.0276029536375311	0.680007060066786	0.967318648487311	0.0861093691010745	0.37465447322027	0.884998641754011	"NS"	""	"4"	"N"	"N"	NA	NA
"ZNF263"	-0.116576326588211	-0.12036251321845	0.00378618663023887	0.967140498386493	0.997036196798622	0.0320058013801488	0.788718342955291	0.974400983127629	"NS"	""	"4"	"N"	"N"	NA	NA
"LRPPRC"	-0.515746206612111	-0.606661161921	0.0909149553088887	0.585067261522228	0.955411612799801	0.0692577372014213	0.424405223491147	0.900518172511061	"NS"	""	"4"	"N"	"N"	NA	NA
"FRY"	-0.221386295602133	-0.143775000935118	-0.0776112946670153	0.440016231157942	0.927131168289747	0.152090503612242	0.122445298001801	0.748232781842247	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH15"	-0.0413618991255556	-0.15133082432658	0.109968925201024	0.23781816194058	0.879876094735999	0.0613529129645767	0.428439518746451	0.903495219919145	"NS"	""	"4"	"N"	"N"	NA	NA
"PDIA6"	0.259125234640444	0.18252900872323	0.0765962259172145	0.207061770940798	0.87028323296438	0.0447583768719874	0.297602920935588	0.854845354017413	"NS"	""	"4"	"N"	"N"	NA	NA
"OPTN"	0.169465334644489	0.07243569862916	0.0970296360153289	0.0930696261220344	0.829161654196083	0.0590521213968154	0.500492014302441	0.92100387459361	"NS"	""	"4"	"N"	"N"	NA	NA
"NAMPT"	-0.182914387366478	-0.310760743090209	0.127846355723731	0.179450706654213	0.863119506963628	0.184129839421269	0.00378580522517136	0.406377764388468	"NS"	""	"4"	"N"	"N"	NA	NA
"CELA3A"	-0.103438404028754	-0.0393739338593	-0.0640644701694544	0.421020486215127	0.925861881077451	-0.084701560042615	0.388010158390846	0.891017386895259	"NS"	""	"4"	"N"	"N"	NA	NA
"YAF2"	-0.0632355085688778	0.10251427505626	-0.165749783625138	0.0226936590530842	0.764943749632032	-0.027713511743392	0.619853962899973	0.938791778754482	"NS"	""	"4"	"N"	"N"	NA	NA
"ARFRP1"	-0.180129484467844	-0.172258078017746	-0.0078714064500984	0.921962482171963	0.991981540811606	-0.0765336817393552	0.615886502012317	0.937615021949077	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH16"	-0.269545788277522	-0.07414747507795	-0.195398313199572	0.0312418817904864	0.764943749632032	-0.11492156596323	0.0937733941500682	0.709038644662179	"NS"	""	"4"	"N"	"N"	NA	NA
"TOB1"	-0.0911754288664	-0.15802657296157	0.06685114409517	0.569983450611523	0.953559394430968	0.0421657755478025	0.796742309909551	0.976455131455835	"NS"	""	"4"	"N"	"N"	NA	NA
"AKAP9"	0.01317065444348	-0.009752786451077	0.022923440894557	0.719482972472925	0.97252241934881	0.0780395304126175	0.177019660358	0.789574903999118	"NS"	""	"4"	"N"	"N"	NA	NA
"CLEC3A"	0.121845035108943	0.07432143104557	0.0475236040633733	0.52208144888668	0.946897131432508	-0.0171746295993572	0.897503661861505	0.988724025070673	"NS"	""	"4"	"N"	"N"	NA	NA
"FAM13A"	0.0649777854918021	-0.132135123245046	0.197112908736848	0.0311980377524571	0.764943749632032	0.0593907593753933	0.54489414090858	0.928374551013441	"NS"	""	"4"	"N"	"N"	NA	NA
"G3BP1"	-0.228771041919971	-0.14850544155378	-0.0802656003661911	0.390346203476295	0.920846184240975	-0.0379578925185043	0.69737823994904	0.957521804411859	"NS"	""	"4"	"N"	"N"	NA	NA
"SUGP2"	0.157505697612422	0.16275749373271	-0.00525179612028775	0.93988406445812	0.992099558171965	0.0143461887221011	0.7812863614459	0.972777782723046	"NS"	""	"4"	"N"	"N"	NA	NA
